,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_value,params_delta,params_dropout,params_epochs,params_gamma,params_hidden_size,params_learning_rate,params_num_layers,params_patience,params_step_size,params_threshold,state
0,0,0.435809463262558,2024-09-30 10:44:17.714905,2024-09-30 10:44:36.953952,0 days 00:00:19.239047,264,0.7000000000000001,0.0,0.2926672878479798,200,0.4596665988624028,128,0.010004940519096136,4,15,10,0.1,COMPLETE
1,1,0.43375489115715027,2024-09-30 10:44:36.963736,2024-09-30 10:44:57.873953,0 days 00:00:20.910217,512,0.9,0.0,0.30816213315291024,200,0.5872973140413194,256,0.008687190853237695,2,10,10,0.2,COMPLETE
2,2,0.5114028453826904,2024-09-30 10:44:57.883355,2024-09-30 10:51:42.601098,0 days 00:06:44.717743,512,0.9,0.0,0.2700238423470642,200,0.5997736058720785,384,1.727257410053157e-05,2,15,10,0.2,COMPLETE
3,3,0.43476516008377075,2024-09-30 10:51:42.623329,2024-09-30 10:52:34.801294,0 days 00:00:52.177965,64,0.7000000000000001,0.0,0.461139972421036,150,0.2606367186199019,256,0.008331970436911194,5,15,20,0.30000000000000004,COMPLETE
4,4,0.4354301989078522,2024-09-30 10:52:34.809725,2024-09-30 10:52:44.650151,0 days 00:00:09.840426,264,0.30000000000000004,0.0,0.46769562347479704,150,0.3014035000400014,128,0.023823277626430224,2,10,5,0.4,COMPLETE
5,5,0.43413636088371277,2024-09-30 10:52:44.657694,2024-09-30 10:53:35.127944,0 days 00:00:50.470250,512,0.9,0.0,0.21426917621964095,100,0.3005599685542853,384,0.004779944241015148,4,15,15,0.5,COMPLETE
6,6,0.36937031149864197,2024-09-30 10:53:35.136572,2024-09-30 10:54:38.594354,0 days 00:01:03.457782,264,0.30000000000000004,0.0,0.38205185766135585,200,0.5265765431780157,256,0.00039172414709616476,5,15,5,0.1,COMPLETE
7,7,0.434468537569046,2024-09-30 10:54:38.621687,2024-09-30 10:55:44.289279,0 days 00:01:05.667592,512,0.1,0.0,0.29003005980103186,100,0.7228865366218907,384,0.04391001970174667,3,15,5,0.4,COMPLETE
8,8,0.3554230332374573,2024-09-30 10:55:44.297511,2024-09-30 10:56:18.503044,0 days 00:00:34.205533,64,0.7000000000000001,0.0,0.44349063764650315,200,0.5044533443191206,256,0.00011419624782160932,3,10,10,0.2,COMPLETE
9,9,0.4362867772579193,2024-09-30 10:56:18.511647,2024-09-30 11:01:02.245111,0 days 00:04:43.733464,264,0.7000000000000001,0.0,0.42923746439628163,150,0.8474258728875048,384,1.0218730129468003e-05,3,15,10,0.2,COMPLETE
10,10,0.16414037346839905,2024-09-30 11:01:02.261321,2024-09-30 11:04:06.591711,0 days 00:03:04.330390,64,0.5,0.0,0.38416050181908334,150,0.1276316963679563,512,0.0001495508839831563,1,10,20,0.30000000000000004,COMPLETE
11,11,0.17260056734085083,2024-09-30 11:04:06.601602,2024-09-30 11:07:15.414312,0 days 00:03:08.812710,64,0.5,0.0,0.3881477642364235,150,0.107063129110543,512,0.00014619861753673732,1,10,20,0.30000000000000004,COMPLETE
12,12,0.1586555615067482,2024-09-30 11:07:15.431317,2024-09-30 11:10:24.510597,0 days 00:03:09.079280,64,0.5,0.0,0.38063631692401023,150,0.11914369044932513,512,0.00015828346763016425,1,10,20,0.30000000000000004,COMPLETE
13,13,0.04447396844625473,2024-09-30 11:10:24.566858,2024-09-30 11:13:56.488168,0 days 00:03:31.921310,128,0.5,0.0,0.35557157310207654,150,0.10489693346023068,512,0.0010783274740751103,1,10,20,0.4,COMPLETE
14,14,0.0680452287197113,2024-09-30 11:13:56.496029,2024-09-30 11:16:17.821724,0 days 00:02:21.325695,128,0.30000000000000004,0.0,0.3618286012187579,100,0.22627393775840898,512,0.0016163120397497226,1,10,15,0.4,COMPLETE
15,15,0.2105979323387146,2024-09-30 11:16:17.923446,2024-09-30 11:17:38.573434,0 days 00:01:20.649988,128,0.1,0.0,0.33256739689542286,100,0.2263245215660329,512,0.0021127786959873928,1,10,15,0.5,COMPLETE
